artist,city,country,date,venue
Sun Room,St Louis,US,2022-02-05T20:00:00-0600,The Pageant
Sun Room,Houston,US,2022-02-03T20:00:00-0600,Bayou Music Center
Sun Room,Austin,US,2022-02-02T20:00:00-0600,Moody Theater
Sun Room,Dallas,US,2022-02-01T20:00:00-0600,"South Side Ballroom, Gilley's"
Sun Room,New York (NYC),US,2021-11-27T19:00:00-0500,Mercury Lounge
Sun Room,New York (NYC),US,2021-11-26T19:30:00-0500,Mercury Lounge
Sun Room,Nashville,US,2021-11-24T20:00:00-0600,The High Watt
Sun Room,West Hollywood,US,2021-11-21T20:00:00-0800,Troubadour
Sun Room,West Hollywood,US,2021-11-20T20:00:00-0800,Troubadour
Sun Room,Santa Ana,US,2021-11-12T19:00:00-0800,Constellation Room
Sun Room,West Hollywood,US,2021-10-30T21:00:00-0700,Troubadour
Sun Room,San Diego,US,2021-10-28T20:30:00-0700,Music Box
Sun Room,Austin,US,2021-10-09T22:00:00-0500,Antone's
Sun Room,Chicago,US,2021-09-13,Schubas Tavern
Sun Room,Santa Ana,US,2021-09-10T20:00:00-0700,Constellation Room
Sun Room,San Diego,US,2021-07-03T20:00:00-0700,Music Box
Sun Room,Costa Mesa,US,2021-06-25T20:00:00-0700,Tiki Bar
