artist,date,venue,city,region,country
Adam Melchor,2021-11-10T20:00:00-0500,Terminal West,Atlanta,GA,US
Adam Melchor,2021-11-09T21:00:00-0500,Charleston Pour House - Main Stage,Charleston,SC,US
Adam Melchor,2021-11-08T20:00:00-0500,Neighborhood Theatre,Charlotte,NC,US
Adam Melchor,2021-11-05T20:00:00-0400,Music Hall of Williamsburg,Brooklyn,NY,US
Adam Melchor,2021-11-01T20:00:00-0400,The Sinclair,Cambridge,MA,US
Adam Melchor,2021-10-28T19:30:00-0400,1627 Prospect St,Indianapolis,IN,US
Adam Melchor,2021-10-27T18:30:00-0500,Lincoln Hall,Chicago,IL,US
Adam Melchor,2021-10-26T20:00:00-0500,High Noon Saloon,Madison,WI,US
Adam Melchor,2021-10-24T20:00:00-0500,Fine Line,Minneapolis,MN,US
Adam Melchor,2021-10-22T21:00:00-0600,Bluebird Theater,Denver,CO,US
Adam Melchor,2021-10-20,Urban Lounge,Salt Lake City,UT,US
Adam Melchor,2021-10-19T20:00:00-0600,The Olympic Venue,Boise,ID,US
Adam Melchor,2021-10-17T20:00:00-0700,Biltmore Cabaret,Vancouver,BC,Canada
Adam Melchor,2021-10-15T20:00:00-0700,Chop Suey,Seattle,WA,US
Adam Melchor,2021-10-14,Doug Fir Lounge,Portland,OR,US
Adam Melchor,2021-10-11T20:00:00-0700,Great American Music Hall,San Francisco,CA,US
Adam Melchor,2021-10-09T21:00:00-0700,El Rey Theatre,Los Angeles (LA),CA,US
Adam Melchor,2021-10-08,Soda Bar,San Diego,CA,US
Adam Melchor,2021-10-07T20:00:00-0700,Valley Bar,Phoenix,AZ,US
Adam Melchor,2021-05-29T21:30:00-0500,The Rustic,San Antonio,TX,US
Adam Melchor,2021-05-28T21:30:00-0500,The Rustic,Dallas,TX,US
Adam Melchor,2021-05-27,The Rustic Houston - Downtown,Houston,TX,US
Adam Melchor,2021-05-25T19:00:00-0500,Empire Control Room & Garage,Austin,TX,US
Adam Melchor,2021-05-08T19:00:00-0400,Salvage Station,Asheville,NC,US
Adam Melchor,2021-05-07T19:00:00-0400,Quest Brewing Co.,Greenville,SC,US
Adam Melchor,2021-05-06T19:00:00-0500,Yee-Haw Brewing Co. - Nashville,Nashville,TN,US
Adam Melchor,2021-05-05T19:00:00-0500,Yee-Haw Brewing Co. - Nashville,Nashville,TN,US
Adam Melchor,2021-05-02T19:30:00-0400,Charleston Pour House - Main Stage,Charleston,SC,US
Adam Melchor,2021-04-30T19:00:00-0400,Lenny Boy Brewing Co.,Charlotte,NC,US
Adam Melchor,2021-04-29T19:00:00-0400,Park Tavern in Piedmont Park,Atlanta,GA,US
Adam Melchor,2020-09-25T19:00:00-0500,The Adler Lot,Chicago,IL,US
Adam Melchor,2020-08-25T19:30:00-0400,Citizens Bank Park,Philadelphia,PA,US
Adam Melchor,2020-02-28T20:00:00-0800,Troubadour,West Hollywood,CA,US
Adam Melchor,2019-12-16T20:00:00-0600,Austin City Limits Live at The Moody Theater,Austin,TX,US
Adam Melchor,2019-12-02T19:00:00-0500,Chelsea Music Hall,New York (NYC),NY,US
Adam Melchor,2019-11-05T19:00:00-0800,Showbox at the Market,Seattle,WA,US
Adam Melchor,2019-10-29T20:00:00-0400,White Eagle Hall,Jersey City,NJ,US
Adam Melchor,2019-10-11T20:00:00-0700,Hollywood Palladium,Hollywood,CA,US
Adam Melchor,2019-10-09T19:00:00-0700,House of Blues San Diego,San Diego,CA,US
Adam Melchor,2019-10-06T20:00:00-0700,Fox Theater,Oakland,CA,US
Adam Melchor,2019-10-04T21:00:00-0700,Roseland Theater,Portland,OR,US
Adam Melchor,2019-10-02T19:00:00-0700,Showbox SoDo,Seattle,WA,US
Adam Melchor,2019-09-28T19:00:00-0600,Gothic Theatre,Englewood,CO,US
Adam Melchor,2019-09-27T19:00:00-0600,Gothic Theatre,Englewood,CO,US
Adam Melchor,2019-09-24T19:00:00-0500,Granada Theater - TX,Dallas,TX,US
Adam Melchor,2019-09-17T19:30:00-0500,Riviera Theatre,Chicago,IL,US
Adam Melchor,2019-09-14T19:00:00-0400,Majestic Theatre,Detroit,MI,US
Adam Melchor,2019-09-06T20:00:00-0400,9:30 CLUB,Washington,DC,US
Adam Melchor,2019-09-05T19:00:00-0400,9:30 CLUB,Washington,DC,US
Adam Melchor,2019-07-23T20:00:00-0700,The Greek Theatre,Los Angeles (LA),CA,US
Adam Melchor,2019-07-16T18:30:00-0700,McMenamin's Historic Edgefield Manor,Troutdale,OR,US
Adam Melchor,2019-07-14T19:00:00-0700,Vogue Theatre,Vancouver,BC,Canada
Adam Melchor,2019-07-10T20:00:00-0500,Fargo Theatre,Fargo,ND,US
Adam Melchor,2019-06-11T18:30:00-0500,Vaudeville Mews,Des Moines,IA,US
Adam Melchor,2019-06-08T20:00:00-0500,Sons of Hermann Hall,Dallas,TX,US
Adam Melchor,2019-06-07T21:00:00-0500,Antone's,Austin,TX,US
Adam Melchor,2019-06-05T20:00:00-0500,Saturn,Birmingham,AL,US
Adam Melchor,2019-05-31T19:30:00-0400,The Evening Muse,Charlotte,NC,US
Adam Melchor,2019-05-29T19:00:00-0400,The Basement,Columbus,OH,US
Adam Melchor,2019-05-22T19:00:00-0700,SLO Brew Rock,San Luis Obispo,CA,US
Adam Melchor,2019-05-21T21:30:00-0700,The Moroccan Lounge,Los Angeles (LA),CA,US
Adam Melchor,2019-05-09T21:00:00-0500,Hideout,Chicago,IL,US
Adam Melchor,2019-05-06T21:00:00-0400,Baby's All Right - Brooklyn,Brooklyn,NY,US
Adam Melchor,2019-03-11T19:00:00-0500,Empire Control Room & Garage,Austin,TX,US
Adam Melchor,2019-01-21,Bardot,Hollywood,CA,US
Adam Melchor,2018-12-04T19:00:00-0500,Rockwood Music Hall Stage 2,New York (NYC),NY,US
Adam Melchor,2018-10-11T20:00:00-0500,Antone's,Austin,TX,US
Adam Melchor,2018-10-10T19:30:00-0500,"Bronze Peacock Room, House of Blues",Houston,TX,US
Adam Melchor,2018-10-03,Washington,Washington,DC,US
Adam Melchor,2018-09-30T18:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2018-09-13T19:00:00-0400,The Parlour @ Fox & Crow,Jersey City,NJ,US
Adam Melchor,2018-09-08T20:00:00-0400,Berlin Under A,New York (NYC),NY,US
Adam Melchor,2018-08-18T20:00:00-0700,Troubadour,West Hollywood,CA,US
Adam Melchor,2018-08-17T21:00:00-0700,The Independent,San Francisco,CA,US
Adam Melchor,2018-06-15T21:00:00-0400,The Parlour @ Fox & Crow,Jersey City,NJ,US
Adam Melchor,2018-06-10T18:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2018-06-03,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2018-06-02T19:00:00-0400,On the Deck,Atlantic Highlands,NJ,US
Adam Melchor,2018-01-04T18:30:00-0500,Mercury Lounge,New York (NYC),NY,US
Adam Melchor,2017-12-30,Horseneck Tavern,Caldwell,NJ,US
Adam Melchor,2017-12-26T20:00:00-0500,The Downtown,Red Bank,NJ,US
Adam Melchor,2017-12-17,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-12-16T12:00:00-0500,House of 'Que,Hoboken,NJ,US
Adam Melchor,2017-12-16T19:00:00-0500,On the Deck,Atlantic Highlands,NJ,US
