artist,date,venue,city,region,country,performers
Briston Maroney,2022-03-10T20:00:00-0500,The Foundry at the Fillmore,Philadelphia,PA,US,"['Briston Maroney', 'Jackie Hayes']"
Briston Maroney,2022-03-09T21:00:00-0500,Music Hall of Williamsburg,Brooklyn,NY,US,"['Briston Maroney', 'Jackie Hayes']"
Briston Maroney,2022-03-07,Empire Underground,Albany,NY,US,"['Briston Maroney', 'Jackie Hayes']"
Briston Maroney,2022-03-05T19:00:00-0500,The Loving Touch,Ferndale,MI,US,"['Briston Maroney', 'Jackie Hayes']"
Briston Maroney,2022-03-04T21:00:00-0500,Hi-Fi,Indianapolis,IN,US,"['Briston Maroney', 'Jackie Hayes']"
Briston Maroney,2022-03-03,Lincoln Hall,Chicago,IL,US,"['Briston Maroney', 'Jackie Hayes']"
Briston Maroney,2022-03-01T19:00:00-0600,Amsterdam Bar & Hall,St. Paul,MN,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-28T20:00:00-0600,Majestic Theatre,Madison,WI,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-26T21:00:00-0700,Bluebird Theater,Denver,CO,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-25T19:00:00-0700,Soundwell,Salt Lake City,UT,US,['Briston Maroney']
Briston Maroney,2022-02-25T07:00:00-0700,Soundwell,Salt Lake City,UT,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-23T19:00:00-0800,Neumos,Seattle,WA,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-22T20:00:00-0800,Wild Buffalo,Bellingham,WA,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-21T20:00:00-0800,Wonder Ballroom,Portland,OR,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-18T21:00:00-0800,The New Parish,Oakland,CA,US,"['Briston Maroney', 'Savannah Conley']"
Briston Maroney,2022-02-17T20:00:00-0800,Troubadour,West Hollywood,CA,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-16T20:00:00-0800,Troubadour,West Hollywood,CA,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-15T20:00:00-0700,The Rebel Lounge,Phoenix,AZ,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-12T20:00:00-0600,White Oak Music Hall - Upstairs,Houston,TX,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-11T21:00:00-0600,Antone's,Austin,TX,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2022-02-10T20:00:00-0600,Trees,Dallas,TX,US,"['Briston Maroney', 'Genevieve Stokes']"
Briston Maroney,2021-12-31T21:00:00-0500,The Anthem,Washington,DC,US,"['Rainbow Kitten Surprise', 'Briston Maroney']"
Briston Maroney,2021-11-19T17:00:00-0500,Fox Theatre Atlanta,Atlanta,GA,US,"['Manchester Orchestra', 'Slothrust', 'Briston Maroney', 'Foxing', 'Andy Shauf']"
Briston Maroney,2021-10-24T20:00:00-0500,Stubb's Bar-B-Q (Indoors),Austin,TX,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-10-23T20:00:00-0500,Austin City Limits Live at The Moody Theater,Austin,TX,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-10-22T19:00:00-0500,House of Blues - Dallas,Dallas,TX,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-10-21T19:00:00-0500,House of Blues - Houston,Houston,TX,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-10-19T20:00:00-0500,Joy Theater,New Orleans,LA,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-10-17T20:00:00-0500,Marathon Music Works,Nashville,TN,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-09-18,North Beach,Asbury Park,NJ,US,['Briston Maroney']
Briston Maroney,2021-09-16T19:00:00-0400,A&R Music Bar,Columbus,OH,US,"['Briston Maroney', 'Savannah Conley']"
Briston Maroney,2021-09-15,Zanzabar,Louisville,KY,US,"['Briston Maroney', 'Savannah Conley']"
Briston Maroney,2021-09-14T20:00:00-0400,The Southern Café and Music Hall,Charlottesville,VA,US,"['Briston Maroney', 'Savannah Conley']"
Briston Maroney,2021-09-12,Lakeshore Park,Knoxville,TN,US,['Briston Maroney']
Briston Maroney,2021-09-11,40 Watt Club,Athens,GA,US,"['Briston Maroney', 'Savannah Conley']"
Briston Maroney,2021-09-10T21:00:00-0500,Saturn,Birmingham,AL,US,"['Briston Maroney', 'Savannah Conley']"
Briston Maroney,2021-09-09T21:00:00-0500,Proud Larry's,Oxford,MS,US,"['Briston Maroney', 'Savannah Conley']"
Briston Maroney,2021-08-28,Keeneland,Lexington,KY,US,['Briston Maroney']
Briston Maroney,2021-08-14T17:30:00-0700,Oxbow RiverStage,Napa,CA,US,"['Trampled by Turtles', 'Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-05-15T20:00:00-0400,Columbia Speedway Amphitheater,Cayce,SC,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-05-14T17:30:00-0400,Devil's Backbone Brewing Company - Basecamp,Roseland,VA,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-05-13T18:00:00-0400,Orange County Speedway,Durham,NC,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-05-11T18:00:00-0400,Rural Hill,Huntersville,NC,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2021-05-10T19:00:00-0500,Avondale Brewing Company,Birmingham,AL,US,"['Mt. Joy', 'Briston Maroney']"
Briston Maroney,2020-08-07T19:30:00-0500,Continental Club,Austin,TX,US,"['Ben Kweller', 'Briston Maroney']"
