artist,date,venue,city,region,country,performers
The Greeting Committee,2019-10-04T18:00:00-0400,Royale Boston,Boston,MA,US,"['Bombay Bicycle Club', 'The Greeting Committee']"
The Greeting Committee,2019-10-03T19:00:00-0400,Phoenix Concert Theatre,Toronto,ON,Canada,"['Bombay Bicycle Club', 'The Greeting Committee']"
The Greeting Committee,2019-10-02,St. Andrew's Hall,Detroit,MI,US,"['Bombay Bicycle Club', 'The Greeting Committee']"
The Greeting Committee,2019-10-01T18:30:00-0500,House of Blues Chicago,Chicago,IL,US,"['Bombay Bicycle Club', 'The Greeting Committee']"
The Greeting Committee,2019-09-28T20:30:00-0700,The Fillmore,San Francisco,CA,US,"['Bombay Bicycle Club', 'The Greeting Committee']"
The Greeting Committee,2019-09-27T20:00:00-0700,The Observatory North Park,San Diego,CA,US,"['Bombay Bicycle Club', 'The Greeting Committee']"
The Greeting Committee,2019-09-26T20:00:00-0700,Mayan Theater,Los Angeles (LA),CA,US,"['Bombay Bicycle Club', 'The Greeting Committee']"
The Greeting Committee,2019-06-13T20:00:00-0500,The High Watt,Nashville,TN,US,['The Greeting Committee']
The Greeting Committee,2019-06-11T19:00:00-0500,7th St Entry,Minneapolis,MN,US,"['The Greeting Committee', 'Con Davison']"
The Greeting Committee,2019-06-08T19:00:00-0700,The Wiltern,Los Angeles (LA),CA,US,"['Rainbow Kitten Surprise', 'The Greeting Committee']"
The Greeting Committee,2019-06-07T19:00:00-0700,The Wiltern,Los Angeles (LA),CA,US,"['Rainbow Kitten Surprise', 'The Greeting Committee']"
The Greeting Committee,2019-06-05T20:00:00-0700,Fox Theater,Oakland,CA,US,"['Rainbow Kitten Surprise', 'The Greeting Committee']"
The Greeting Committee,2019-06-04T20:00:00-0700,Fox Theater,Oakland,CA,US,"['Rainbow Kitten Surprise', 'The Greeting Committee']"
The Greeting Committee,2019-06-02T20:00:00-0700,Roseland Theater,Portland,OR,US,"['Rainbow Kitten Surprise', 'The Greeting Committee']"
The Greeting Committee,2019-06-01T20:00:00-0700,Roseland Theater,Portland,OR,US,"['Rainbow Kitten Surprise', 'The Greeting Committee']"
The Greeting Committee,2019-05-31T20:00:00-0700,Paramount Theatre,Seattle,WA,US,"['Rainbow Kitten Surprise', 'The Greeting Committee']"
The Greeting Committee,2019-05-24T21:00:00-0600,Larimer Lounge,Denver,CO,US,"['The Greeting Committee', 'Haley Blais', 'Corsicana']"
The Greeting Committee,2019-05-22T20:00:00-0500,Three Links,Dallas,TX,US,"['The Greeting Committee', 'Haley Blais']"
The Greeting Committee,2019-05-21T20:00:00-0500,Mohawk - Indoor,Austin,TX,US,"['The Greeting Committee', 'Haley Blais']"
The Greeting Committee,2019-05-17T20:00:00-0500,The Ready Room,St Louis,MO,US,['The Greeting Committee']
The Greeting Committee,2019-05-16T19:00:00-0400,The Basement,Columbus,OH,US,"['The Greeting Committee', 'Haley Blais', 'Snarls']"
The Greeting Committee,2019-05-15T20:00:00-0400,DC9 Nightclub,Washington,DC,US,"['The Greeting Committee', 'Haley Blais']"
The Greeting Committee,2019-05-14T18:30:00-0400,Mercury Lounge,New York (NYC),NY,US,"['The Greeting Committee', 'Haley Blais']"
The Greeting Committee,2019-05-12T20:00:00-0400,Voltage Lounge,Philadelphia,PA,US,"['The Greeting Committee', 'Haley Blais']"
The Greeting Committee,2019-05-10T19:00:00-0400,Rivoli,Toronto,ON,Canada,['The Greeting Committee']
The Greeting Committee,2019-05-08T20:00:00-0500,Beat Kitchen,Chicago,IL,US,['The Greeting Committee']
The Greeting Committee,2019-03-15T19:00:00-0400,Majestic Theatre,Detroit,MI,US,"['The Greeting Committee', 'Arkells']"
The Greeting Committee,2019-03-14T19:00:00-0500,Bottom Lounge,Chicago,IL,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-03-07T20:00:00-0600,Delmar Hall,St Louis,MO,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-03-06T21:00:00-0600,Exit/In,Nashville,TN,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-03-05T19:00:00-0500,A&R Music Bar,Columbus,OH,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-03-04T20:00:00-0600,Madison Live,Covington,KY,US,"['Arkells', 'The Greeting Committee']"
